piano;piano;piano;piano;;
D3;F3;A3;;0x00;red
D3;G3;Bb3;;0x01;yellow
Db3;E3;A3;G3;0x02;amber
D3;F3;A3;;0x03;red
D3;F3;A3;;0x04;red
D3;G3;Bb3;;0x05;yellow
Db3;E3;A3;G3;0x06;amber
D3;F3;A3;;0x07;red
D3;G3;Bb3;;0x20;red
D3;G3;Bb3;;0x21;red
E3;Ab3;B3;D3;0x22;yellow
E3;Ab3;B3;D3;0x23;yellow
F3;A3;C4;;0x24;orange
F3;A3;C4;;0x25;orange
E3;Ab3;B3;D3;0x26;yellow
E3;Ab3;B3;D3;0x27;yellow
D3;F3;A3;;0x40;red
C3;E3;A3;;0x41;yellow
E3;Ab3;B3;D3;0x42;amber
C3;E3;A3;;0x43;yellow
D3;F3;A3;;0x44;red
C3;E3;A3;;0x45;yellow
E3;Ab3;B3;D3;0x46;amber
C3;E3;A3;;0x47;yellow
D3;F3;A3;;0x00;red
D3;G3;Bb3;;0x01;yellow
Db3;E3;A3;G3;0x02;amber
D3;F3;A3;;0x03;red
D3;F3;A3;;0x04;red
D3;G3;Bb3;;0x05;yellow
Db3;E3;A3;G3;0x06;amber
D3;F3;A3;;0x07;red
D3;G3;Bb3;;0x20;red
D3;G3;Bb3;;0x21;red
E3;Ab3;B3;D3;0x22;yellow
E3;Ab3;B3;D3;0x23;yellow
F3;A3;C4;;0x24;orange
F3;A3;C4;;0x25;orange
E3;Ab3;B3;D3;0x26;yellow
E3;Ab3;B3;D3;0x27;yellow
D3;F3;A3;;0x40;red
C3;E3;A3;;0x41;yellow
E3;Ab3;B3;D3;0x42;amber
C3;E3;A3;;0x43;yellow
D3;F3;A3;;0x44;red
C3;E3;A3;;0x45;yellow
E3;Ab3;B3;D3;0x46;amber
C3;E3;A3;;0x47;yellow
D3;F3;A3;;0x64;red
C3;E3;A3;;0x65;yellow
E3;Ab3;B3;D3;0x66;amber
C3;E3;A3;;0x67;yellow
D3;F3;A3;;0x64;red
C3;E3;A3;;0x65;yellow
E3;Ab3;B3;D3;0x66;amber
C3;E3;A3;;0x67;yellow
D3;F3;A3;;0x00;red
D3;G3;Bb3;;0x01;yellow
Db3;E3;A3;G3;0x02;amber
D3;F3;A3;;0x03;red
D3;F3;A3;;0x04;red
D3;G3;Bb3;;0x05;yellow
Db3;E3;A3;G3;0x06;amber
D3;F3;A3;;0x07;red
D3;G3;Bb3;;0x20;red
D3;G3;Bb3;;0x21;red
E3;Ab3;B3;D3;0x22;yellow
E3;Ab3;B3;D3;0x23;yellow
F3;A3;C4;;0x24;orange
F3;A3;C4;;0x25;orange
E3;Ab3;B3;D3;0x26;yellow
E3;Ab3;B3;D3;0x27;yellow
D3;F3;A3;;0x40;red
C3;E3;A3;;0x41;yellow
E3;Ab3;B3;D3;0x42;amber
C3;E3;A3;;0x43;yellow
D3;F3;A3;;0x44;red
C3;E3;A3;;0x45;yellow
E3;Ab3;B3;D3;0x46;amber
C3;E3;A3;;0x47;yellow
D3;F3;A3;;0x40;red
C3;E3;A3;;0x41;yellow
E3;Ab3;B3;D3;0x42;amber
C3;E3;A3;;0x43;yellow
D3;F3;A3;;0x44;red
C3;E3;A3;;0x45;yellow
E3;Ab3;B3;D3;0x46;amber
C3;E3;A3;;0x47;yellow
D3;F3;A3;;0x40;red
C3;E3;A3;;0x41;yellow
E3;Ab3;B3;D3;0x42;amber
C3;E3;A3;;0x43;yellow
D3;F3;A3;;0x44;red
C3;E3;A3;;0x45;yellow
E3;Ab3;B3;D3;0x46;amber
C3;E3;A3;;0x47;yellow
